value,type,context,source
prism-west-candy[[.]]glitch[[.]]me,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
accurate-sprout-porpoise[[.]]glitch[[.]]me,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
drive-file-share[[.]]site,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
s3[[.]]tebi[[.]]io,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
ksview[[.]]top,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
honest-halcyon-fresher[[.]]buzz,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
review[[.]]modification-check[[.]]online,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
admin-stable-right[[.]]top,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
nterview[[.]]site,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
shortlinkview[[.]]live,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
panel-view[[.]]live,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
reconsider[[.]]site,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
panel-live-check[[.]]online,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
continue-meeting[[.]]site,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
email-daemon[[.]]online,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
check-panel-status[[.]]live,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
dloffice[[.]]top,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
dloffice[[.]]buzz,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
n9[[.]]cl,domain,Charming Kitten/APT42 phishing/C2 infra (defanged),https://attack.mitre.org/groups/G0059/
d5a05212f5931d50bb024567a2873642,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
347b273df245f5e1fcbef32f5b836f1d,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
081419a484bbf99f278ce636d445b9d8,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
dd2653a2543fa44eaeeff3ca82fe3513,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
c23663ebdfbc340457201dbec7469386,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
13aa118181ac6a202f0a64c0c7a61ce7,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
2f6bf8586ed0a87ef3d156124de32757,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
853687659483d215309941dae391a68f,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
9c5337e0b1aef2657948fd5e82bdb4c3,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
c3b9191f3a3c139ae886c0840709865e,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
d7bf138d1aa2b70d6204a2f3c3bc72a7,md5,Charming Kitten sample,https://attack.mitre.org/groups/G0059/
